Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Sprint,Custom field (Start date),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent summary,Status Category,Status Category Changed
Subtask 2.1.4: Test the page for responsiveness.,SCRUM-50,10049,Story,In Progress,SCRUM,Creating an Agile Manifesto with a Student Project,software,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,Medium,,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,06/Jan/25 8:59 PM,06/Jan/25 11:05 PM,06/Jan/25 11:23 PM,,,0,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,,,,,,,,SCRUM-29,,,,,,,,,,,,,,,,,,,,,,,0|i0000r:i,,,Sprint 2,,,,,,,,,,,,,,In Progress,06/Jan/25 11:05 PM
Subtask 2.1.2: Add text and explanations for each of the four values.,SCRUM-49,10048,Story,In Progress,SCRUM,Creating an Agile Manifesto with a Student Project,software,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,Medium,,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,06/Jan/25 8:59 PM,06/Jan/25 11:06 PM,06/Jan/25 11:27 PM,,,0,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,,,,,,,,SCRUM-29,,,,,,,,,,,,,,,,,,,,,,,0|i0000s:4,,,Sprint 2,,,,,,,,,,,,,,In Progress,06/Jan/25 11:06 PM
Subtask 2.1.1: Create a layout for displaying the values.,SCRUM-48,10047,Story,In Progress,SCRUM,Creating an Agile Manifesto with a Student Project,software,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,Medium,,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,06/Jan/25 8:59 PM,06/Jan/25 11:05 PM,06/Jan/25 11:27 PM,,,0,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,,,,,,,,SCRUM-29,,,,,,,,,,,,,,,,,,,,,,,0|i0000s:,,,Sprint 2,,,,,,,,,,,,,,In Progress,06/Jan/25 11:05 PM
Subtask 1.3.4: Test the navigation for bugs and usability issues.,SCRUM-47,10046,Story,In Progress,SCRUM,Creating an Agile Manifesto with a Student Project,software,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,Medium,,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,06/Jan/25 8:58 PM,06/Jan/25 10:46 PM,06/Jan/25 11:27 PM,,,0,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,,,,,,,,SCRUM-28,,,,,,,,,,,,,,,,,,,,,,,0|i0000m:v,,,Sprint 1,Sprint 1,,,,,,,,,,,,,In Progress,06/Jan/25 10:46 PM
Subtask 1.3.3: Ensure the navigation is responsive on different devices.,SCRUM-46,10045,Story,In Progress,SCRUM,Creating an Agile Manifesto with a Student Project,software,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,Medium,,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,06/Jan/25 8:58 PM,06/Jan/25 10:46 PM,06/Jan/25 11:27 PM,,,0,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,,,,,,,,SCRUM-28,,,,,,,,,,,,,,,,,,,,,,,0|i0000m:x,,,Sprint 1,Sprint 1,,,,,,,,,,,,,In Progress,06/Jan/25 10:46 PM
Subtask 1.3.1: Design the navigation bar for the homepage.,SCRUM-45,10044,Story,In Progress,SCRUM,Creating an Agile Manifesto with a Student Project,software,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,Medium,,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,06/Jan/25 8:58 PM,06/Jan/25 10:46 PM,06/Jan/25 10:26 PM,,,0,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,,,,,,,,SCRUM-28,,,,,,,,,,,,,,,,,,,,,,,0|i0000m:i,,,Sprint 1,Sprint 1,,,,,,,,,,,,,In Progress,06/Jan/25 10:46 PM
Subtask 1.2.3: Format and style the content on the homepage.,SCRUM-44,10043,Story,In Progress,SCRUM,Creating an Agile Manifesto with a Student Project,software,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,Medium,,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,06/Jan/25 8:57 PM,06/Jan/25 10:46 PM,06/Jan/25 11:27 PM,,,0,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,,,,,,,,SCRUM-27,,,,,,,,,,,,,,,,,,,,,,,0|i0000l:v,,,Sprint 1,Sprint 1,,,,,,,,,,,,,In Progress,06/Jan/25 10:46 PM
Subtask 1.2.2: Write the introduction content.,SCRUM-43,10042,Story,In Progress,SCRUM,Creating an Agile Manifesto with a Student Project,software,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,Medium,,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,06/Jan/25 8:57 PM,06/Jan/25 10:46 PM,06/Jan/25 11:27 PM,,,0,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,,,,,,,,SCRUM-27,,,,,,,,,,,,,,,,,,,,,,,0|i0000l:r,,,Sprint 1,Sprint 1,,,,,,,,,,,,,In Progress,06/Jan/25 10:46 PM
Subtask 1.2.1: Research the history of Agile and its core concepts.,SCRUM-42,10041,Story,Done,SCRUM,Creating an Agile Manifesto with a Student Project,software,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,Medium,Done,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,06/Jan/25 8:57 PM,06/Jan/25 10:46 PM,06/Jan/25 11:27 PM,06/Jan/25 10:46 PM,,0,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,,,,,,,,SCRUM-27,,,,,,,,,,,,,,,,,,,,,,,0|i0000k:p,,,Sprint 1,Sprint 1,,,,,,,,,,10000_*:*_1_*:*_6514582_*|*_10002_*:*_1_*:*_0,,,Done,06/Jan/25 10:46 PM
Subtask 1.1.4: Conduct user testing and gather feedback.,SCRUM-41,10040,Story,In Progress,SCRUM,Creating an Agile Manifesto with a Student Project,software,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,Medium,,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,06/Jan/25 8:56 PM,06/Jan/25 10:45 PM,06/Jan/25 11:27 PM,,,0,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,,,,,,,,SCRUM-26,,,,,,,,,,,,,,,,,,,,,,,0|i0000k:v,,,Sprint 1,Sprint 1,,,,,,,,,,,,,In Progress,06/Jan/25 10:45 PM
Subtask 1.1.3: Integrate animations using JavaScript.,SCRUM-40,10039,Story,In Progress,SCRUM,Creating an Agile Manifesto with a Student Project,software,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,Medium,,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,06/Jan/25 8:56 PM,06/Jan/25 10:45 PM,06/Jan/25 11:27 PM,,,0,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,,,,,,,,SCRUM-26,,,,,,,,,,,,,,,,,,,,,,,0|i0000k:r,,,Sprint 1,Sprint 1,,,,,,,,,,,,,In Progress,06/Jan/25 10:45 PM
Subtask 1.1.2: Develop HTML and CSS for the layout.,SCRUM-39,10038,Story,Done,SCRUM,Creating an Agile Manifesto with a Student Project,software,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,Medium,Done,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,06/Jan/25 8:56 PM,06/Jan/25 10:45 PM,06/Jan/25 11:27 PM,06/Jan/25 10:45 PM,,0,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,,,,,,,,SCRUM-26,,,,,,,,,,,,,,,,,,,,,,,0|i0000k:i,,,Sprint 1,Sprint 1,,,,,,,,,,10000_*:*_1_*:*_6541457_*|*_10001_*:*_1_*:*_0,,,Done,06/Jan/25 10:45 PM
Subtask 1.1.1: Create wireframes for the homepage.,SCRUM-38,10037,Story,Done,SCRUM,Creating an Agile Manifesto with a Student Project,software,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,Medium,Done,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,06/Jan/25 8:56 PM,06/Jan/25 10:45 PM,06/Jan/25 11:27 PM,06/Jan/25 10:45 PM,,0,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,,,,,,,,SCRUM-26,,,,,,,,,,,,,,,,,,,,,,,0|i0000k:m,,,Sprint 1,Sprint 1,,,,,,,,,,10000_*:*_1_*:*_6539628_*|*_10001_*:*_1_*:*_0,,,Done,06/Jan/25 10:45 PM
Story 4.3: Implement user authentication for collaboration features.,SCRUM-37,10036,Story,To Do,SCRUM,Creating an Agile Manifesto with a Student Project,software,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,Medium,,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,06/Jan/25 8:45 PM,06/Jan/25 11:07 PM,06/Jan/25 11:27 PM,,,0,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,,,,,,,,SCRUM-12,SCRUM-79,SCRUM-80,SCRUM-81,SCRUM-82,,,,,,,,,,,,,,,,,,,0|i0001m:,,,Sprint 4,,,10.0,,,,,,,,,,,To Do,06/Jan/25 11:07 PM
Story 4.2: Enable users to comment on resources and principles.,SCRUM-36,10035,Story,To Do,SCRUM,Creating an Agile Manifesto with a Student Project,software,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,Medium,,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,06/Jan/25 8:45 PM,06/Jan/25 11:07 PM,06/Jan/25 11:27 PM,,,0,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,,,,,,,,SCRUM-12,SCRUM-75,SCRUM-76,SCRUM-77,SCRUM-78,,,,,,,,,,,,,,,,,,,0|i0001j:,,,Sprint 4,,,5.0,,,,,,,,,,,To Do,06/Jan/25 11:07 PM
Story 4.1: Develop a discussion forum for users.,SCRUM-35,10034,Story,To Do,SCRUM,Creating an Agile Manifesto with a Student Project,software,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,Medium,,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,06/Jan/25 8:45 PM,06/Jan/25 11:06 PM,06/Jan/25 11:27 PM,,,0,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,,,,,,,,SCRUM-12,SCRUM-71,SCRUM-72,SCRUM-73,SCRUM-74,,,,,,,,,,,,,,,,,,,0|i0001b:,,,Sprint 4,,,13.0,,,,,,,,,,,To Do,06/Jan/25 11:06 PM
Story 3.3: Add search and filter functionality.,SCRUM-34,10033,Story,To Do,SCRUM,Creating an Agile Manifesto with a Student Project,software,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,Medium,,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,06/Jan/25 8:45 PM,06/Jan/25 11:06 PM,06/Jan/25 11:27 PM,,,0,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,,,,,,,,SCRUM-11,SCRUM-67,SCRUM-68,SCRUM-69,SCRUM-70,,,,,,,,,,,,,,,,,,,0|i0001i:4,,,Sprint 3,,,12.0,,,,,,,,,,,To Do,06/Jan/25 11:06 PM
Story 3.2: Include downloadable resources like templates and guides.,SCRUM-33,10032,Story,To Do,SCRUM,Creating an Agile Manifesto with a Student Project,software,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,Medium,,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,06/Jan/25 8:45 PM,06/Jan/25 11:06 PM,06/Jan/25 11:27 PM,,,0,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,,,,,,,,SCRUM-11,SCRUM-63,SCRUM-64,SCRUM-65,SCRUM-66,,,,,,,,,,,,,,,,,,,0|i0001c:i,,,Sprint 3,,,3.0,,,,,,,,,,,To Do,06/Jan/25 11:06 PM
"Story 3.1: Design a library for Agile practices (Scrum, Kanban, etc.).",SCRUM-32,10031,Story,To Do,SCRUM,Creating an Agile Manifesto with a Student Project,software,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,Medium,,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,06/Jan/25 8:45 PM,06/Jan/25 11:06 PM,06/Jan/25 11:27 PM,,,0,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,,,,,,,,SCRUM-11,SCRUM-60,SCRUM-61,SCRUM-62,,,,,,,,,,,,,,,,,,,,0|i0001d:,,,Sprint 3,,,7.0,,,,,,,,,,,To Do,06/Jan/25 11:06 PM
Story 2.3: Add examples to illustrate each value and principle.,SCRUM-31,10030,Story,In Progress,SCRUM,Creating an Agile Manifesto with a Student Project,software,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,Medium,,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,06/Jan/25 8:44 PM,06/Jan/25 10:17 PM,06/Jan/25 11:27 PM,,,0,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,,,,,,,,SCRUM-10,SCRUM-54,SCRUM-55,SCRUM-56,SCRUM-57,SCRUM-58,SCRUM-59,,,,,,,,,,,,,,,,,0|i0000u:,,,Sprint 2,,,4.0,,,,,,,,,,,In Progress,06/Jan/25 10:17 PM
Story 2.2: Implement an interactive feature to explain the 12 principles.,SCRUM-30,10029,Story,In Progress,SCRUM,Creating an Agile Manifesto with a Student Project,software,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,Medium,,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,06/Jan/25 8:44 PM,06/Jan/25 10:17 PM,06/Jan/25 11:27 PM,,,0,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,,,,,,,,SCRUM-10,SCRUM-51,SCRUM-52,SCRUM-53,,,,,,,,,,,,,,,,,,,,0|i0000u:4,,,Sprint 2,,,6.0,,,,,,,,,,,In Progress,06/Jan/25 10:17 PM
Story 2.1: Create a page to display the four core Agile values.,SCRUM-29,10028,Story,In Progress,SCRUM,Creating an Agile Manifesto with a Student Project,software,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,Medium,,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,06/Jan/25 8:44 PM,06/Jan/25 10:17 PM,06/Jan/25 11:18 PM,,,0,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,,,,,,,,SCRUM-10,SCRUM-48,SCRUM-49,SCRUM-50,,,,,,,,,,,,,,,,,,,,0|i0000s:9,,,Sprint 2,,,2.0,,,,,,,,,,,In Progress,06/Jan/25 10:17 PM
Story 1.3: Include navigation to other sections of the platform.,SCRUM-28,10027,Story,Done,SCRUM,Creating an Agile Manifesto with a Student Project,software,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,Medium,Done,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,06/Jan/25 8:44 PM,06/Jan/25 10:46 PM,06/Jan/25 11:27 PM,06/Jan/25 10:46 PM,,0,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,,,,,,,,SCRUM-9,SCRUM-45,SCRUM-46,SCRUM-47,,,,,,,,,,,,,,,,,,,,0|i0000k:q,,,Sprint 1,Sprint 1,,3.0,,,,,,,,10000_*:*_1_*:*_7325299_*|*_10002_*:*_1_*:*_0,,,Done,06/Jan/25 10:46 PM
Story 1.2: Add an introduction to Agile and its history.,SCRUM-27,10026,Story,Done,SCRUM,Creating an Agile Manifesto with a Student Project,software,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,Medium,Done,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,06/Jan/25 8:44 PM,06/Jan/25 10:46 PM,06/Jan/25 11:27 PM,06/Jan/25 10:46 PM,,0,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,,,,,,,,SCRUM-9,SCRUM-42,SCRUM-43,SCRUM-44,,,,,,,,,,,,,,,,,,,,0|i0000k:o,,,Sprint 1,Sprint 1,,2.0,,,,,,,,10000_*:*_1_*:*_7315986_*|*_10002_*:*_1_*:*_0,,,Done,06/Jan/25 10:46 PM
Story 1.1: Design and implement a visually appealing homepage.,SCRUM-26,10025,Story,In Progress,SCRUM,Creating an Agile Manifesto with a Student Project,software,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,Medium,,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,06/Jan/25 8:44 PM,06/Jan/25 10:45 PM,06/Jan/25 11:27 PM,,,0,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,,,,,,,,SCRUM-9,SCRUM-38,SCRUM-39,SCRUM-40,SCRUM-41,,,,,,,,,,,,,,,,,,,0|i0000j:,,,Sprint 1,Sprint 1,,3.0,,,,,,,,,,,In Progress,06/Jan/25 10:45 PM
Feature 4: Collaboration Features.,SCRUM-12,10011,Story,To Do,SCRUM,Creating an Agile Manifesto with a Student Project,software,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,Medium,,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,06/Jan/25 7:39 PM,06/Jan/25 8:45 PM,06/Jan/25 8:31 PM,,,0,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,,,,,,,,,SCRUM-35,SCRUM-36,SCRUM-37,,,,,,,,,,,,,,,,,,,,0|i00013:,,,,,,,,,,,,,,,10003,Develop a web-based Agile Manifesto platform,To Do,06/Jan/25 7:39 PM
Feature 3: Resource Library.,SCRUM-11,10010,Story,To Do,SCRUM,Creating an Agile Manifesto with a Student Project,software,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,Medium,,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,06/Jan/25 7:39 PM,06/Jan/25 8:45 PM,06/Jan/25 11:27 PM,,,0,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,,,,,,,,,SCRUM-32,SCRUM-33,SCRUM-34,,,,,,,,,,,,,,,,,,,,0|i0000v:,,,,,,,,,,,,,,,10003,Develop a web-based Agile Manifesto platform,To Do,06/Jan/25 7:39 PM
Feature 2: Agile Values and Principles.,SCRUM-10,10009,Story,To Do,SCRUM,Creating an Agile Manifesto with a Student Project,software,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,Medium,,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,06/Jan/25 7:39 PM,06/Jan/25 8:44 PM,06/Jan/25 11:27 PM,,,0,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,,,,,,,,,SCRUM-29,SCRUM-30,SCRUM-31,,,,,,,,,,,,,,,,,,,,0|i0000n:,,,,,,,,,,,,,,,10003,Develop a web-based Agile Manifesto platform,To Do,06/Jan/25 7:39 PM
Feature 1: Homepage for Agile Manifesto.,SCRUM-9,10008,Story,To Do,SCRUM,Creating an Agile Manifesto with a Student Project,software,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,Medium,,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,06/Jan/25 7:39 PM,06/Jan/25 8:44 PM,06/Jan/25 11:26 PM,,,0,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,,,,,,,,,SCRUM-26,SCRUM-27,SCRUM-28,,,,,,,,,,,,,,,,,,,,0|i0000f:,,,,,,,,,,,,,,,10003,Develop a web-based Agile Manifesto platform,To Do,06/Jan/25 7:39 PM
Develop a web-based Agile Manifesto platform,SCRUM-4,10003,Epic,To Do,SCRUM,Creating an Agile Manifesto with a Student Project,software,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,Medium,,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,06/Jan/25 6:53 PM,06/Jan/25 6:53 PM,06/Jan/25 10:26 PM,,,0,"+*_Agile Manifesto Web Platform Project_*+

As part of our software engineering course, we teamed up to create a web-based platform all about the Agile Manifesto. The goal? To help users learn, interact with, and explore Agile values and principles in an engaging way.

This wasn’t just about building a website—it was about living Agile. We broke the project into manageable pieces, worked in Sprints, and embraced feedback to improve along the way.

The final platform includes:

* A sleek homepage introducing the Agile Manifesto.
* Interactive pages that explain Agile values and principles with real-world examples.
* A resource library packed with helpful guides, templates, and a search feature.
* Collaboration tools like a discussion forum and commenting system with user accounts.

Through this project, we learned how to plan, adapt, and work together using Agile methodologies. It was a hands-on experience that showed us the power of teamwork and continuous improvement.",,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,,,,,,,,,,,,,,,,,,,,,,,,,,purple,,,,,0|i00007:,,,,,,,,,,,,,,,,,To Do,06/Jan/25 6:53 PM
